Wall time,Round,Iteration,Value,
1644306726.00176,656,32800,0.727783918380737,
1644306793.06928,659,32950,0.731699943542481,
1644306815.5681,660,33000,0.719048082828522,
1644306837.77528,661,33050,0.726578950881958,
1644306997.58794,668,33400,0.722863733768463,
1644307065.23921,671,33550,0.715132057666779,
1644307178.70689,676,33800,0.732202053070068,
1644307201.71041,677,33850,0.706195414066315,
1644307224.52429,678,33900,0.727382242679596,
1644307291.80993,681,34050,0.728988826274872,
1644307338.32342,683,34150,0.724369943141937,
1644307361.23452,684,34200,0.725374042987824,
1644307384.10143,685,34250,0.715332865715027,
1644307450.71558,688,34400,0.726478576660156,
1644307563.7249,693,34650,0.728486776351929,
1644307608.8862,695,34750,0.725574851036072,
1644307631.66148,696,34800,0.718144416809082,
1644307654.54205,697,34850,0.731097519397736,
1644307677.23852,698,34900,0.716738641262054,
1644307722.71238,700,35000,0.725072801113129,
1644307791.10626,703,35150,0.711718022823334,
1644307813.77448,704,35200,0.722763299942017,
1644307859.37408,706,35300,0.726177334785461,
1644307948.32427,710,35500,0.722060441970825,
1644307970.84712,711,35550,0.723867833614349,
1644308016.57889,713,35650,0.722160875797272,
1644308085.33629,716,35800,0.727281868457794,
1644308130.7342,718,35900,0.72979211807251,
1644308175.42827,720,36000,0.737222611904144,
1644308197.97754,721,36050,0.733808636665344,
1644308220.27097,722,36100,0.716939449310303,
1644308264.74346,724,36200,0.698363304138184,
1644308309.01779,726,36300,0.717742741107941,
1644308331.54652,727,36350,0.718746840953827,
1644308353.97113,728,36400,0.728788018226624,
1644308376.67314,729,36450,0.726679384708405,
1644308399.32079,730,36500,0.717341125011444,
1644308445.39346,732,36600,0.725072801113129,
1644308468.44523,733,36650,0.72487199306488,
1644308491.35218,734,36700,0.73290491104126,
1644308605.81449,739,36950,0.725876092910767,
1644308628.70555,740,37000,0.721357583999634,
1644308651.69624,741,37050,0.718546032905579,
1644308697.33597,743,37150,0.727783918380737,
1644308719.90721,744,37200,0.727984726428986,
1644308742.62473,745,37250,0.71643739938736,
1644308765.43624,746,37300,0.723265409469605,
1644308921.13625,753,37650,0.718043982982636,
1644308990.84275,756,37800,0.719951808452606,
1644309013.94374,757,37850,0.703082621097565,
1644309059.60538,759,37950,0.718244791030884,
1644309171.53409,764,38200,0.729189693927765,
1644309193.69884,765,38250,0.725574851036072,
1644309216.42541,766,38300,0.733607769012451,
1644309283.49108,769,38450,0.734611928462982,
1644309305.78584,770,38500,0.726980626583099,
1644309372.34888,773,38650,0.714228332042694,
1644309394.63573,774,38700,0.720152616500855,
1644309440.3736,776,38800,0.734511494636536,
1644309462.94818,777,38850,0.720152616500855,
1644309507.35046,779,38950,0.733406960964203,
1644309529.85807,780,39000,0.723867833614349,
1644309552.19682,781,39050,0.734411060810089,
1644309574.521,782,39100,0.733206152915955,
1644309596.59712,783,39150,0.735716462135315,
1644309730.79528,789,39450,0.718847274780273,
1644309753.87085,790,39500,0.718746840953827,
1644309799.76744,792,39600,0.722462117671967,
1644309845.53427,794,39700,0.732503235340118,
1644309891.19677,796,39800,0.719349324703217,
1644309914.07858,797,39850,0.714027523994446,
1644309982.20044,800,40000,0.720052242279053,
1644310004.92256,801,40050,0.718646466732025,
1644310096.25161,805,40250,0.734611928462982,
1644310119.18735,806,40300,0.730796277523041,
1644310141.96126,807,40350,0.726980626583099,
1644310164.67842,808,40400,0.740435779094696,
1644310233.04711,811,40550,0.735816836357117,
1644310301.34928,814,40700,0.72828596830368,
1644310414.25601,819,40950,0.730695843696594,
1644310436.32274,820,41000,0.729189693927765,
1644310480.90177,822,41100,0.727382242679596,
1644310503.21911,823,41150,0.722060441970825,
1644310525.41682,824,41200,0.702178955078125,
1644310569.99331,826,41300,0.723365783691406,
1644310593.01965,827,41350,0.713425040245056,
1644310615.81714,828,41400,0.720554292201996,
1644310638.79812,829,41450,0.729390501976013,
1644310730.71137,833,41650,0.73541522026062,
1644310753.55551,834,41700,0.730997085571289,
1644310799.03125,836,41800,0.731298327445984,
1644310821.86876,837,41850,0.734712302684784,
1644310844.79914,838,41900,0.728386402130127,
1644310890.38946,840,42000,0.727783918380737,
1644310913.42568,841,42050,0.715935349464417,
1644310982.53677,844,42200,0.729189693927765,
1644311026.85247,846,42300,0.738126337528229,
1644311138.89238,851,42550,0.735214352607727,
1644311161.48336,852,42600,0.742142796516418,
1644311230.13531,855,42750,0.732001185417175,
1644311298.06881,858,42900,0.740536212921143,
1644311367.00328,861,43050,0.734310686588287,
1644311412.75965,863,43150,0.727683484554291,
1644311480.76167,866,43300,0.720554292201996,
1644311503.53339,867,43350,0.721859633922577,
1644311594.74633,871,43550,0.722662925720215,
1644311617.73502,872,43600,0.715332865715027,
1644311845.10483,882,44100,0.734411060810089,
1644311890.56255,884,44200,0.729290068149567,
1644311914.51747,885,44250,0.735214352607727,
1644311937.25534,886,44300,0.733808636665344,
1644311960.22185,887,44350,0.73290491104126,
1644312005.93367,889,44450,0.735113978385925,
1644312051.48931,891,44550,0.736921370029449,
1644312096.92916,893,44650,0.728386402130127,
1644312165.08565,896,44800,0.722662925720215,
1644312210.64854,898,44900,0.715132057666779,
1644312233.50976,899,44950,0.730294227600098,
1644312301.80964,902,45100,0.725374042987824,
1644312324.20688,903,45150,0.724671125411987,
